year,province_territory,total_workers,total_count_per_100000,total_percent_female,total_percent_age_under_30,total_percent_age_30_to_59,total_percent_age_over_60
2020,Nova Scotia,1585,160.2,52.80224719101123,6.554681647940076,68.18913857677903,25.256179775280902
2020,Nunavut,100,147.3,68.76395112016293,5.16469789545146,71.21710794297353,23.618194161575015
2020,Ontario,20671,140.1,54.993361884368305,5.817987152034261,72.5458244111349,21.63618843683084
2020,Prince Edward Island,224,140.70000000000002,49.7089552238806,4.437313432835821,74.39502487562189,21.089552238805968
2020,Quebec,11784,137.8,59.404208998548626,3.3580551523947753,68.87910014513788,27.66865021770682
2020,Saskatchewan,1647,141.1,47.83118355776046,6.713819985825656,73.06874557051736,20.302834868887313
2020,Yukon,85,202.6,55.2995064165844,1.1692003948667324,59.963277393879565,22.38183613030602
2021,Alberta,6056,136.70000000000002,50.17600585223116,5.366495976591075,75.9854425749817,18.648061448427214
2021,British Columbia,7766,148.6,49.430148048452224,5.882772543741587,70.06083445491252,24.056393001345892
2021,Manitoba,1780,127.89999999999999,34.2302580140735,6.256919468334636,72.62376856919468,21.13479280688038
2021,New Brunswick,1262,159.6,55.83984962406016,6.019172932330828,66.83740601503759,27.143421052631584
2021,Newfoundland and Labrador,902,171.2,54.04953271028038,4.752219626168226,76.62727803738318,18.6205023364486
2021,Northwest Territories,136,205.2,78.84502923976609,1.1017543859649124,76.38216374269005,22.51608187134503
2021,Nova Scotia,1614,161.4,53.70223048327137,6.897026022304832,68.63234200743494,24.555762081784383
2021,Nunavut,112,155.9,74.87338037203335,4.809685695958947,73.83758819756252,21.35272610647851
2021,Ontario,21081,142,55.594366197183085,5.494366197183098,72.44929577464788,22.05633802816901
2021,Prince Edward Island,239,147.4,52.479308005427406,2.010922659430122,78.75807327001357,19.253188602442332
2021,Quebec,12280,143.2,60.635055865921785,1.3223463687150838,70.43603351955306,28.23393854748603
2021,Saskatchewan,1508,129.20000000000002,49.56099071207431,4.21671826625387,74.05394736842105,21.729334365325073
2021,Yukon,95,221.20000000000002,61.061211573236896,0,53.65524412296564,21.07350813743219
2022,Alberta,6091,135,50.58874074074073,3.8695555555555554,76.99,19.129407407407406
2022,British Columbia,8284,154.7,50.39385908209437,5.977763413057531,69.19379444085327,24.81926308985133
2022,Manitoba,1876,132.7,49.15501130369255,9.897437829691032,70.9696307460437,19.132931424265262
2022,New Brunswick,1295,159.9,56.54221388367729,7.008255159474672,66.75728580362727,26.247654784240147
2022,Newfoundland and Labrador,933,175.6,56.93912300683371,5.660478359908884,73.36919134396356,20.91987471526196
2022,Northwest Territories,155,229.89999999999998,79.24049586776859,0.5057851239669421,77.51900826446281,21.97520661157025
2022,Nova Scotia,1620,158,55.68056962025316,6.8184810126582285,68.47120253164557,24.72721518987342
2022,Nunavut,135,191,74.5840837696335,3.29434554973822,75.19685863874345,21.476439790575913
2022,Ontario,21551,142.3,56.31806043569922,5.028531271960645,72.88875614898102,22.082712579058324
2022,Prince Edward Island,255,152.5,54.55318032786886,3.305639344262295,77.96190163934426,18.73245901639344
2022,Quebec,12632,145.6,61.97692307692307,1.337912087912088,69.94835164835166,28.723076923076924
2022,Saskatchewan,1685,143,51.03867132867133,5.622167832167832,74.63853146853147,19.722727272727273
2022,Yukon,96,218.6,60.24460201280879,1.0791399817017382,73.94208600182984,24.978774016468435
2023,Alberta,6174,131.5,51.664562737642584,4.854980988593155,76.85756653992397,18.275741444866917
2023,British Columbia,8500,154,51.63636363636365,6.159740259740261,69.63506493506493,24.2051948051948
2023,Manitoba,1878,129.1,50.1294345468629,8.455538342370255,72.39109217660729,19.153369481022466
2023,New Brunswick,1374,164.6,57.26445929526124,5.9368772782503045,67.4839611178615,26.66512758201701
2023,Newfoundland and Labrador,926,172,58.8517441860465,4.0171511627906975,77.17587209302326,18.806976744186045
2023,Northwest Territories,165,241.2,77.4318407960199,1.393781094527363,76.88283582089552,21.723383084577115
2023,Nova Scotia,1609,152,58.897894736842105,6.445263157894736,70.6542105263158,22.90052631578947
2023,Nunavut,144,200.4,72.39760479041918,0.5544910179640719,78.95074850299402,20.494760479041915
2023,Ontario,21585,138.29999999999998,57.11062906724512,4.629067245119307,73.29934924078091,21.99197396963124
2023,Prince Edward Island,276,158.9,55.7845185651353,3.394084329767149,75.97243549402138,20.633480176211453
2023,Quebec,12960,146,62.87801369863014,1.2494520547945205,69.44636986301369,29.215068493150685
2023,Saskatchewan,1697,140.4,51.643019943019944,4.975498575498576,75.34529914529915,19.67920227920228
2023,Yukon,94,209,58.41311004784689,1.0375119617224882,72.35358851674643,26.608899521531104
